cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,403,0,high_1,{Name}爱抚着{TargetName}的胸部，用不同的手法揉搓着双乳，让{TargetName}感受不停的刺激
1,403,0,high_1,{Name}的大拇指拨弄着{TargetName}挺立的乳头，其余四指轮流在{TargetName}的胸部留下指印，快感的波动一阵阵地传递到{TargetName}的身体各处。
2,403,0,high_1,{Name}粗暴地揉捏着{TargetName}柔软的乳房，毫无阻力地将那一对美乳改变成任何形状，微弱的快感逐渐叠加，令{TargetName}的声音愈发尖锐起来。
3,403,0,high_1,{Name}捏住{TargetName}的乳头，提拉着画着圈，些许的疼痛使得{TargetName}不由得轻哼几声，逐渐升高的体温烘焙着{TargetName}的快感熔炉——子宫。
4,403,0,high_1,{Name}的手掌紧紧握住了{TargetName}的娇乳，指间被夹住的乳头牵扯着{TargetName}乳房内敏感的腺体，物理的刺激被{TargetName}的神经忠实地转换为了快感。
5,403,0,high_1,{Name}用手指在{TargetName}的乳头上画着圈，让{TargetName}的乳头逐渐变硬，然后用力一捏，让{TargetName}的乳头变得红肿起来。
6,403,0,high_1,{Name}双手握住{TargetName}的乳房，用力揉捏着，时不时用指尖刮擦着乳头，让{TargetName}的身体不断颤抖，快感一波波地涌上来。
7,403,0,high_1,{Name}用手指轻轻地拨弄着{TargetName}的乳头，然后俯下身含住了那挺立的蓓蕾，舌尖不断地舔舐着，让{TargetName}的身体因快感而微微颤抖。
8,403,0,is_unconscious_h&t_action_sleep,{Name}用手指拨弄着睡眠中的{TargetName}的乳头，看着{TargetName}无意识地扭动身体，乳头在刺激下逐渐变硬挺立。
9,403,0,is_unconscious_h&t_action_sleep,{Name}爱抚着睡眠中的{TargetName}的胸部，让{TargetName}的身体逐渐放松下来，乳头在刺激下逐渐变硬挺立。
10,403,0,is_unconscious_h&t_action_sleep,{Name}的指尖轻轻扫过{TargetName}熟睡中的乳尖，像羽毛般若有似无的触碰让{TargetName}在梦中发出细微的嘤咛
11,403,0,is_unconscious_h&t_action_sleep,{Name}用掌心包裹住{TargetName}的乳肉缓缓画圈，温热的体温透过肌肤传递，沉睡的乳首在持续刺激下渐渐苏醒
12,403,0,is_unconscious_h&t_action_sleep,{Name}两指夹住{TargetName}挺立的乳尖轻轻捻动，睡梦中的{TargetName}无意识弓起腰身，将胸部更送进那作恶的指间
15,403,0,is_unconscious_h&t_action_sleep,{Name}用指甲刮蹭着{TargetName}乳头上细小的孔洞，尖锐的刺激让沉睡的躯体剧烈颤抖，乳首渗出晶莹的露珠
16,403,0,is_unconscious_h&t_action_sleep,{Name}将电动按摩器贴在{TargetName}的乳晕上开启震动模式，高频的震颤让整片胸脯都泛起情欲的潮红
17,403,0,is_unconscious_h&t_action_sleep,{Name}隔着睡衣轻抚{TargetName}的胸廓轮廓，沉睡中的乳尖在布料摩擦下渐渐挺立
18,403,0,is_unconscious_h&t_action_sleep,{Name}解开{TargetName}的衣襟，指尖沿着乳晕边缘打转，熟睡的身体无意识地将胸部拱起
23,403,0,is_unconscious_h&t_action_sleep,{Name}对着{TargetName}的乳晕吹气，看着粉嫩乳尖在冷热交替中颤抖着渗出蜜露
